Offense Code,Frequency
1001,1452
1002,2
1102,4414
1105,1
1106,3147
1107,1065
1108,15
1109,334
111,161
112,1
1201,296
121,5
123,2
1300,1001
1302,2
1304,452
1402,15154
1415,261
1501,900
1502,13
1503,626
1504,147
1510,238
1601,29
1602,161
1603,4
1605,13
1610,7
1620,2
1805,132
1806,177
1807,6
1810,1991
1815,195
1825,75
1830,1205
1831,311
1832,337
1841,1329
1842,1519
1843,2109
1844,458
1845,897
1846,586
1847,205
1848,887
1849,2591
1850,154
1863,1
1864,1
1866,2
1870,86
1874,1274
1901,8
2003,186
2004,59
2005,256
2006,269
2007,1338
2010,77
2101,484
2102,90
2204,256
2401,249
2403,837
2405,1398
2407,127
2511,44
2604,188
2605,8
2606,1
2608,36
2609,1
2610,3254
2611,12
2612,126
2613,64
2616,227
2617,19
2618,13
2619,220
2622,48
2623,80
2628,31
2629,4007
2631,10
2632,407
2636,9
2641,15
2642,31
2646,796
2647,9042
2648,75
2657,370
2660,644
2662,981
2663,51
2664,9
2670,131
2672,2
2900,2894
2905,1963
2906,1051
2907,2616
2910,2
2914,463
3001,1215
3002,367
3004,57
3006,18783
3007,1347
3008,356
301,3056
3016,10
3018,1405
3029,23
3102,194
3106,912
3108,1269
3109,2559
311,554
3110,195
3111,1701
3112,968
3114,11124
3115,18754
3116,212
3119,688
3122,36
3123,14
3125,8407
3130,966
315,1
3160,525
3170,309
3201,8893
3202,227
3203,10
3205,493
3207,3698
3208,858
3301,13099
3302,27
3303,29
3304,620
3305,279
334,1
335,1
338,1
339,3
3402,285
3403,27
3410,11287
349,1
3501,3766
3502,4365
3503,593
351,181
361,635
3620,166
3625,307
371,104
3801,2925
3802,6557
3803,5131
3805,766
3807,732
381,86
3810,916
3811,426
3820,1656
3821,414
3830,1286
3831,16323
402,1
403,6
404,1
413,4887
423,2911
432,1
511,1
520,2585
521,661
522,2359
527,1
530,1
540,914
541,112
542,310
547,1
560,249
561,41
562,171
611,455
612,188
613,7953
614,8894
615,1951
616,2268
617,9074
618,16
619,5970
623,2
624,1
627,1
629,2
633,4
634,1
637,1
639,1
670,67
706,815
714,1
724,3630
727,403
735,1051
770,2
801,962
802,14799
803,3
804,62
900,94
